transcript,summary
"Uh, this is a speed that might be bigger conversation or topics than the group here, but as I was going through and just looking at the use cases and the last one I noticed that the member profile was outside of the platform, the cognitive part, I should say the card scale platform from a enterprise. And it goes back to Ted. I think your comment on data structure, right, are we aligning to data structures within the cortex profile of one platform? Are we aligning to data structures outside and then aligning, you know, truly an API data, a data structure within API? Is that part of the, you know, the approach here for some and influencing the development. ",Member profile was outside of the cog scale platform.
Yeah. And I'm hoping some of the company. ,It's good to get some help.
"More intelligent, quick, rapid development. Make. ",Intelligent quick and rapid development.
"Sure. So my name is Frederick Coutts. Um, I am with the, um, with, uh, doc AI and I am helping architect or rather I should say I am architecting and, uh, and needing the technical portions of this particular project. And, uh, in terms of my background, I have a extensive background working with a variety of cloud native groups, uh, and technologies. I was, um, I was involved with Durkee with Docker, right from the start. Uh, I have mid actually before it was publicly released. I was involved with early Kubernetes. Uh, I helped telecoms with their, uh, with their infrastructure and how they, and how they move towards a cloud native and, uh, environments. And that was part of my focus. I was previously on red hat and the office of the CTO, where I ended up, uh, focusing on their, their work strategy. I also am responsible for red hat container storage engine. Uh, I started in and drove out. ",Frederick Coutts is with doc AI anf he is helping architect and works on the technical portions of particular project. He hase worked with variety of cloud native groups. He was involved with docker from start anf with early Kubernetes. He has helped telecoms in moving towards a cloud native environments. He was previously on Red Hat and the office of the CTO where he focused on their work strategy and was also responsible for Red Hat container storage engine.
"And to your point, they're not necessarily sitting on a credit. ",They are not necessarily sitting on a credit. 
It's optional for you. I will just extend to bhanu. ,Optional for you.
"Essentially, maybe you think is that consistent? I've got to figure out what I'm muted here. There we go. Yes. No, I think that's fair. I'd like to, I'd like to pull, um, the I'd like for the work less team and harsher, like others to be in on those conversations so we can pull the right sets of use cases. One, one thing is we don't want to stand in the way, but then to, um, like critique should be there. Others. I want to pull the right ones to all the points that are being made. ",I would like for the work less team and harsher. Critiques should be there.
"Okay, not to get ahead of ourselves. One of the things that as you think about this, it will help everyone is the library of use cases that are being built up by Sourav and other teams, there was a whole punch line and an entire panel effort we can start doing in terms of designing these campaign templates without even touching the product. So that next year, when the time comes, you were to prioritize that, got the SMEs developers together. And then we started launching once the GA yeah, well, the marketplace, right? That's what you're saying is that, that, that starts to get us to that level of, um, call it a democratization of those campaigns to where you need the prohibitive knowledge level of lets me say, yeah, does this make sense to go? Do you're letting kind of data, tell you that and you can go implement it. Yup. That bookend the developer ID, the other bookend is the operational intelligence speeds that you we're talking about what goes in and how you start. ","Saurav and other teams built use cases which is really going to help everyone,without even  touching the product we can start designing the campaign templates. We start launching once the GA wll in the markey place."
"I just heard the announcement that the meeting is being recorded,  Um, right. ",Meeting is being recorded
"Something really important here, right. That we can. ",Something is really important here.
It's called tooling on top of it is just a method. Yeah. ,It's tooling which is just a method.
"Um, you know, uh, our, our, our, our favorite, uh, ",It's our favorite.
"Different vendors. Oh, it says I don't have it.  They slide on that, uh, on that specifically. But, um, I I'm, I am putting together the final set of, uh, of comments. Uh, I apologize. There's around three to 400 pages of technical information that I've been, uh, going through over the past several days. So, um, so I need to finalize my, my comments on that. Um, but in general, the, there were some comments around, a lot of the comments were very high level, but, uh, there were definitely comments around the ontologies that I thought were, were fantastic. And there were a large number of, um, of additional, uh, patterns that we may be able to take from a security perspective in terms of how to defend the system and how to protect the data, make sure that we understand where the data's coming from from a Providence perspective, uh, ensuring that it lends it only in the places where it, where it should. And, uh, and I intend to, to pull information from, uh, from each of them in order to, to kind of compare and contrast in terms of our decision. Uh, but is there something specific that you want me to, to address in those groups or is this, um, ","Lot of the comments were very high level, but there were definitely comments around the ontologies that were useful. There were a large number additional patterns that can be taken from a security perspective in terms of how to defend the system and protect the data, make sure that we understand where the data's coming from, from a providence perspective, ensuring that it lends it only in the places where it should. I intend to pull information from each of them in order to compare and contrast in terms of our decision."
This morning. So I have to get someone back. ,I have to get someone back.
"You know, it doesn't take a long time to learn how to do it. You how to use these tools. So what we'll have is essentially very minimal recipes for different types of applications. ",It won't take much time to learn how to to do it. There will be minimal recipes for different types of applications. 
"You cannot do from an extreme Sweden perspective. The only thing I'm more thinking is would we be unable to  to be on the deliverable and to stop using it over? But again, it's going to be a separate domain altogether. ",We need to think about unable to be on the deliverable and to stop using it over but it's going to be a separate domain altogether.
"To say, could we hand select a handful of ideas from there? ",Could we hand select a handful of ideas from there? .
"I agree with you, unless I'm totally understating out here that a set of use cases. ",I agree with you unless I understand the set of use cases.
"Yeah, I was applying for the finance jobs.",Anuj was applying for the finance jobs.
"Good question. Let me play back. What Rajeev, Ted and I spoke one Sunday, long ago, like a month ago. Um, there were three different types of use cases that they were selected. One was a simple hello world, kind of a developer use case. Um, something like an appointment reminder, something that anyone can go in and start getting a feel for the system has no business value, but essentially its users to on it used to certify and train people. That's one second is the business function use case, which is where the low intensity ER, uh, piece was there. And third was a migration use case, which is what Rajiv Paul did the X exoskeleton taking an existing app and migrating over on to work over there. So when we started this and then this Ted has changed to me, those were the three vectors are developer training, use case, a use case for business value. And then I worked for migration of an existing app. That's I think they still as a candidate use cases for work OSTP and the third one, I think in school, except cause, um, if you, if you take the cognitive claims examiner project, for example, and say, how can I, uh, instrument it? So, um, Lorraine can plan emissions. That would be the exoskeleton. ","Rajeev, Ted and I came up with three use cases about a month ago. One was a simple hello world which is kind of a developer use case. Second was the business function use case where the low intensity ER piece was there. Third was a migration use case whose exoskeleton was done by Rajiv Paul and then I worked for migration of an existing app."
"topics extraction and, uh, Bhanu and, anuj till anuj is in the team. Once anuj leaves the team and we don't have any replacement. Then I guess Bhanu will join, the Hrisheek and divesh and because intent extraction or topics extraction, they are almost same. The only thing is intents will be predefining.",Intent extraction or topics extraction are almost same. The only thing is intents will be predefining.
Yeah finally you got your financial domain,Finally Anuj got his financial domain.
"This consistency perspective, um, to kind of help achieve this end to end. Um, so, um, I mean, ",Consistenct perspective is help to achieve this end to end.
"It's gone. And when we say enhancement, is it, uh, enhancement from a product perspective or, or any additional, uh, built in vessels will attach into it?  Yeah, this is, this is leading into the extension of our, uh, cortex V6, which will be there to support work on this. So. ",Extension of Cortex V6 will be there to support work on this.
"Right. You know, the wizard, this doesn't disappear because there's a wizard. You're able to invent many powerful and wonderful things. ",Wizard doesn’t disappear and you will invent many powerful and wonderful things.
"As first level of tasks for everyone. And, uh,  Yeah. Then it comes to otterai, fireflies already the platform architecture I have shared it with kajari. There are few things that I need to add. Espeacially this feedback loop. Which I will add and sent it again. While otterai and fireflies thing, today i will be finishing the evaluation.","These are first level of tasks for everyone. Platform architecture for Otterai, fireflies is shared and i will be finishing the evaluation."
"Resources for the design system, you know, one set of systems, you know, well, one unified system for, um, collaboration together. ",WorkOS is a unified system for collaboration
"Experience with, with, you know, taking and building machine learning models, uh, harsher and Steve baggy, and, uh, Adarsh have built, uh, uh, cognitive claims processing, uh, AI system with, with their mat framework. So what we would, so, so w w we need to discuss and learn from that and figure out which components can be imported into, uh, ",We should work out from cognitive claims processing AI system built that which components can be imported into.
Everything. The old world does not disappear. Right. ,The old world does not disappear.
"Just one more curious question on, on, on one of those functions, right? If I have to create a campaign and I'm using one of those existing functions from the market place, like get weather and I don't, I, if I have to customize that, would it be creating as another, uh, uh, version on the marketplace or would be updating the existing functionality on it? How is the version control going to be maintained? ","If I customize the existing function, it would create as a new version or updating existing function?"
"Have a, a global workforce that's, uh, integrated engineering and operations. ",Future of work should have global workforce having integrated engineering and operations
"Okay. I mean, it's a, it's a really good question. Right? So this gets into this single IDE, which was labeled as X-Force. Um, so when we're going through this flow, now, the idea would be that, you know, you would have one persona in that course. That should be a lot of these different functions. Um, from a technical standpoint now, maybe from a roles and responsibilities, we don't want to do that. We want to keep them separate. Um, but I think that's a discussion that we need to have. ","This gets into this single IDE, which was labeled as X-Force.when we're going through this flow,the idea would have one persona in that course. That should be a lot of these different functions from a technical stand point to from a roles and responsibilities, we don't want to do that. We want to keep them separate."
After Bhanu it was me sir. I am the fourth guy.,Dhanuj said he is the fourth guy.
10% for lumbar spine. So that's kind of the list of goal  That you want to add in. ,You add 10% for plumber spine in the goal list.
Just wake up. It's been a long day. Camera two. ,"Come on, it's been a long day."
"The day tomorrow, and then  on Friday. ",JAM sessions is on tommorrow and then on Friday
"Hey, John, let me step back a little bit. I just want to make sure I have a clear understanding of, um, X doing developer panel, uh, or the fours developer panel. You know, I love the names that you come up with because it's, um, I am losing my mind in terms of the cross reference table out there, but what does X do for you? You know, we are setting up work and work was, is, is available. Um, what are we gonna, um, ask the exploring developer panel? Do you know? I have five developers right now who have no bachelor's degree talk to four years. Programming experience, varied experience and everything. ",John should give clear explanation of X doing developer panel or the fours developer panel.
"It is an exercise that startup and team are doing right now. Right? Then there's a subset of use cases, which is making our productivity of developer point of view better everyday, right? Giving us access to it, the tools and technologies to solve it. ",This exercise is being done by startup and team. The subset of use cases makes productivity of developer point of view better everyday.
"Would you, do you want to add anything to the mission team? ",Do you want to add anything to mission team?.
"One other big difference in LIER work, we have done November. Last year you LIER going forward, which is everything we have with Steve wedgie. And Sean and deem was on cortex v5. But now we are talking about doing LIER on workOS. So it has different timelines. And I think there's a very important interlock between Steve and Sean and Ted that needs to happen. ","One other large contrast in LIER work we have done till November last year was on cortex v5. However, presently we are looking at accomplishing LIER on workOS."
"It needs to run on, it needs to run on AC yes. First. So let's start with, start with the foundation. So do you want to start there? And then we can go. ",Let's start on the foundation and then we can go forward.
"The deployer system. Right. You know, if I didn't have Bobby, I could never have gotten tele-health or up, because I don't know enough people to call it. ","If I dont have Bobby I could not have gotten tele health or up,beacause I don’t know enough people to call it."
"While the shedding is coming up. Now I know why we need to, uh, you know, install. ", I know why we need to install because sheeding is coming up. 
"That would get them linked up with our pelvis as quickly as possible.  Hey Jonathan, thanks. Slate. Actually has an example of what the campaign. ",It would get linked up with our pelvis as quciky as possible.
What we are doing in this process here is extracting your knowledge and capabilities and focusing it. ,The process here extracts our knowledge and capabilities and focuses on it. 
"All these task that you are saying, you will be","All these task that you are saying, you will be"
"Cox scale, but, but the basic goal that I would like to see here is. ",The basic goal which I would like to see
"You know, we can push up those sessions to kind of get hypotheses out of those. ","To get hypothesis of those session, push them."
"My recruitive lift for my microphone to where you echo it. Um, but yeah, so. ",Recruitive lift for microphone where it echoes.
"Uh, look at the use cases in Spanish. ",Look at the spanish use cases.
"I think an easy way to break it down. And in some of this is, uh, using cognitive scales terms of a, of a skill. You have the creation of the skill, which may require some serious technical chops from the developer in order to build out that skill, then you have the consumption of the skill, which could literally be as simple as I'm in, I'm in the cognitive scale environment, uh, the, uh, the X wing environment. And I just drag and drop that skill into my graph. And now I have something that's that does that for me. And so the both of them are necessary. We have to handle both of them properly, but, uh, but they're, they're very different use cases and that need to interact with each.  Yep. Makes sense. Yep. So. ",Using cognitive scales terms of a skill is an easy way. Both creation and the consumption of the skill are necessary and need to interact with each as they're very different use cases.
intents will be predefining. That means we already know that we will. ,Intents will be predefining.
"Yeah. And also from a measurement perspective, I think measuring individual campaigns, probably not going to be a feasible right? Many times if you getting quite a few campaigns targeting one number for different things, I don't know how you're going to actually successfully measure it. If you say you're going to, for everything, you're going to hear the constraint pretty. So, but I think it's. ",Measuring indiviual campaigns are not easy.
"Well, the work that's been happening there. Um, we'll talk quite a bit about cortex and Skywalker. ",Cortex and Skywalker is going to be discussed
"And the infrastructure that will be supporting the  There's layer of democratize, you know, ",And the infrastructure that will be supporting the layer of democratize.
"The scope and helps, helps this grow. ","The scope and helps, helps this grow. "
GM has some new here. Yeah. So he's just floating. ,GM has some new here.
"We had so appreciate it. Appreciate your time. Thanks.  All right. Um, are there any other items for walk-on, um, items that folks want to bring up that maybe didn't have a chance to get mentioned as we were going through the other interviews? ",Is there anything else that to be brought up?
"Yeah, a campaign is, is, is just to be clear, right? Campaign is, is just a metabolic organization so that we grouped together. ",Let it clear. Campaign is just a metabolic organization so that we grouped together.
"Cool. And, and Rushi,  If we may, I just want to make sure that folks know we are recording this session and we will have it indexed, and then we will have it transcribed. ",This session is getting recorded. Later it will be indexed and transcribed.
"It would be on the same page. No needs, no need to talk about it anymore. ",We are in the same page
I think we need to make sure that we can. ,We need to make sure that we can.
"And future work has two components, which is, uh, one is content related. Like I, what should we do with our processes and use cases and capabilities that need to be rethought and re implemented. Right? And secondly, uh, the platform that enables that. ","Future of work has two components, rethinking the processes, use cases and capabilities and then creation of platform to enable it"
"Forms that re imagined or sets up that reimagination is called, uh, workers and worker asks itself, um, has four or five key components to it. Uh, the fundamental sort of. ",Platforms that needs to be reimagined be called as workers
"you can parallely work with Avinash on summary cleanup as this is a normal NLP task. So you can , for the first video you have the MOM, The manual MOM as well as the generated transcript.So you will, You both will have to see what kind of error. So, Avinash the same red pointer that you had in the previous Excel sheet, same thing you will have to done that , you will have to do, and then you will have to come up. You both have to come up with a strategy like how this can be automated, whether we have to create a custom dictionary or anything. So, first you will have to compare both the transcripts and then come up with a strategy based on that. So once Avinash. Avinash you also share, you share it with the whatsapp, I am sorry the Team's group.",Avijit has to work with Avinash on summary cleanup. They both have to see the errors by comparing manula MOM with generated transcripts and then come up with a strategy based on that. Once done Avinash to share this on Team's group.
"Among the, the, the things here that we wanted to take advantage.  Did you have any Neo? And the D is how do we hook up the developer portal in such a way to each of these, these panels and functionality? ",How to connect the developer portal in that way to each of these panels and functionality?
"I, I just need the daggone. I'm getting my swim. ",I just need it ASAP.
"As of now questions, escalations deadlines, sentiments. So whatever is feasible. As of now, I'm not saying that you do for everything, but whatever is feasible based on the current two transcripts, you just try to create a model for these intents extraction. Well, when I'm saying topics extraction, even though it's written topics here, it is actually intent. Topics extraction means side.",Try to create a model for these intense extraction.
Bring a mix to it as we move forward. ,I think we can bring a mix to it as we move forward.
Timing doesn't fit with what you're looking for. I assume. ,The timings does not fit.
"saying topics extraction, even though it's written topics here, it is actually intent. Topics extraction means side. Her you can see.",Topics extraction is actually intent. 
And the idea of that is something we can. ,And the idea of that is something we can. 
"Awesome. Thanks.  So we will, we will get into use cases today. I want to, um, everybody's going to talk a little bit about kind of where, where we've come from and we're doing, but just from a high level, Mitch and I are going to start with the con the contract, um, and, uh, we're working through there's people being added to the team. So we'll, we won't go through all of these things here, but just from a, um, a contract perspective. So, um, and we've got all the people here that make decisions and can sign off. So Rajat, uh, Rajiv, Ted, uh, and then this will go up to Gloria and John Delima, but the cognitive scale contract is coming in. It's it's already going through the process. Um, we've got some myths of mass to work out. I'll let Joel talk about that in just a second, but, um, going through the process, so Rajah, it should be in your queue today or tomorrow, and we just need to keep moving it, uh, moving it through the process. So just as a heads up, it's coming, y'all have to sign off as coming through tests cost center.  Okay.  Alright. So, Joel, anything you want to add about the contract just quickly? So we can move on to some of the other topics. ",Mitch and I are going to start with the con the contract. the cognitive scale contract is already going through the process. It should be in Rajat's queue soon. All the people have to sign off as coming through tests cost center.
"Just kind of set some context of the journey that we've been on with Anthem for really the past year and a half. And if you think about this from this three tier architectural overview from a bottom up perspective, but we have Anthem with data is data fabric from a shook to theme. Um, and with data comes models, right? So these are all the, from the marketplaces that are out of Sean way, working with Steve Aggie, um, and with data and models within Anthem, there's also partners, right? XYZ, AI, cloud Medeco, um, as well as public sources, what we provide is kind of this, uh, intelligence layer that's overlayed on top of the data, which is really enabling you to source the data from a variety of different sources, integrating with existing models and algorithms to then personalize, right, these actionable insights. And we, and we broadcast this throughout a variety of different channels, whether that's the call center or a member portal, um, we're working with, um, Steve Peggy's group on being able to actually hook into this event stream for Sydney care.  Um, but this is all being tracked throughout the member's journey from one of the start with when we know who they are all the way till the end, we're constantly looking at these interactions we're, we're learning. Um, and we're bringing that back to help inform how we can make the system better over time. And just to kind of call out, you know, some of the recent work things that we've been doing specifically with the Neil's organization, working very closely with Roger Pula, you know, in the service experience world. Now we're looking at building out these number profiles, um, and claims profiles, uh, and being able to now deploy it in all States, I'll call it centers, working across all commercial members, really focused on KPIs around things about increase the first call resolution issue, resolution integrated, you know, through, uh, Anthem's developer suite through Apogee, um, and capita streets, um, to be surfaced through other existing tools like parts of the central and doing this, uh, and facing very strict non functional requirements. So, so that's just a very brief context. I really want to spend the time getting into the demonstration, but again, I'm really happy, you know, take this offline a little bit more. ","The journey that we've been on with Anthem for really the past year and a half.If you think about this from this three tier architectural overview from a bottom up perspective.what we provide is kind of this, intelligence layer that's overlayed on top of the data, which is really enabling you to source the data from a variety of different sources, integrating with existing models and algorithms to then personalize, right, these actionable insights. And we, and we broadcast this throughout a variety of different channels, whether that's the call center or a member portal."
"So, so I want to tell you, I'm extraordinarily impressed with what's the what's here now. The next step is how do we take it and make it so that, you know, body with a driver's license can now navigate through the system. And, you know, that's not just give them a triple a map, right. Which is where they are today. Like, what we want to do is give them the Google, you know, uh, app that just tells them turn by turn instructions. And so that's a huge jump of what we're trying to achieve. It doesn't mean that it tells you everything and it's not, you know, we've got to tell people, don't use it in snowstorms. Otherwise you might find yourself in the middle of a field and dying of starvation. Right? So there's all kinds of important caveat in what we're talking about here. It's not going to do. ",We want to give them a google like product which can guide them the instructions doing this will be huge jump in what we are trying to achieve.Note that this cannot be used in all situations there are exceptions.
I think  with that. And I will be aligned with that because yeah. ,"Yes, I will be aligned with that."
"Just to respond with. I don't know if Sean Lang still here or not, it looks like it may have dropped, but, um, I wanted to make sure that everything that, uh, uh, teams like his have done, that we can have as a self-service thing so that people can find a way to, uh, be able to package this stuff up and expose it out. And maybe it's cognitive scale behind Apogee, or maybe it's another system behind Apogee for making sure that there's a, there's a path for people to be able to build these things, have them vetted through security and approved and, uh, have the SLA is established and then have them so we can, uh, work out the building for the resource consumption and then have self-service AXA and in the long run. So that way that, uh, it becomes a self managing self servicing system that people can, uh, can expand on over time and build up that ecosystem. So that's sort of what I'm envisioning. ",We need a self managing and self servicing system so that people can build things and deal with security issues and finally have the SLA established.
"Right. So maybe if there weren't any other questions on this diagram, I just have one last slide to go over and I was supposed, you know, next steps as to follow up items that I thought were pretty important, um, to kind of help with long for the week. Um, so excuse me, sow. Um, I think really going back and helping define who the people are. ","I just have one last slide to go over , I think no questions on this diagram, next steps are pretty important to kind of help with long for the week."
"Always get better and better. Um, you know, it's less, less manual work, less, less configuration. So that's optimization.  Yep. ",Optimization makes everything better leadig to less manial work and configuration.
"Yeah.  Well, thanks, Rajiv and dad for conducting this. The last thing I'll just say before we wrap here is we have the GBD MVP session tomorrow. Um, I don't think all of you have the invitation for that. Certainly. Uh, some of you do and you're welcome to forward it to each other, but if you, uh, you know, if you think you need to be there and, uh, some of the dialogue you heard  and  here today, we'll bring some of the learnings and, and then Nathan will be there to kind of share some of the pains. ",We have GBD MVP session tomorrow and those who have invitations for it can forward it to others who are interested.
"Compatibility between the two and try on both of these, but, but we'll have that discussion. I just wanted, I was curious on that. Thanks.  Yeah. And to be clear, one of the things that I'm trying to do in the architecture is set it up so that we can be agnostic to versions two to the versions that are running as well. So if we have a V five and a D six together, ideally they should not compete with each other in terms of, in terms of how they integrate, uh, although the devil's in the details. So we'll have to make sure that we, that we take that head on, um, a couple other things as well is we need, we also will need people to, so the cognitive scale has a training set, a thing called cognitive view. And so we, we, we will need a list of people who need access to that training sessions, uh, as soon as possible. And so if you can get, uh, to me and Bobby, the, uh, list of people who you all believe should have at that training, please send, please send us the, uh, the emails and we will make sure that they get that they get out of them. Um, ",The list of people who need access to that training sessions of cognitive view should be emailed as soon as possible.
That right now to get quorum. Here we go. ,That right now to get quorum. 
"And it's an ACS can help simplify this as well, because we can use the identities there. So when you connect into a Apogee or some other similar, uh, so some than, uh, w well, we should be able to make use of that so that you don't have to share a secret and, uh, have the developer type in passwords or, or tokens instead when they run it, it runs in that development environment. With the development, token only gets development as data. When it ships into a production environment, that's much more controlled with, and those things just automatically shifted to the right side of identities that determined what type of things it gets. Uh, and also from the, uh, what type of resources, the volume that they can get access to. Like, you probably don't want to send me, Hey, you have unlimited calls at all hours of the day and night. You may want to say these are the, uh, the limits and make sure that they all get applied as well. And so, and those can be controlled by, by roles and tracked by. ","When we connect into a Apogee or other similar, you don't have to share a secret and have the developers type passwords or tokens when they run it development environment. With the development, token only gets development as data. When it ships into a production environment, that's much more controlled and determines what type of things it gets."
"getting assigned with epics and task inside them and based on the sprint planning we will continue. But for this week, till shravanti is completely onboarded into inside this project, maybe we will have to continue with this particular table. So, Avinash, Speaker Diarization is done for the first video. For second video you will be generating. So the next thing is Spell checker  and summary cleanup. So, actually spell checker is part of summary cleanup only. So, Avijit and Avinash you both would be working on this.",Till Shravanti is completely oboarded we will follow the table.
"Case that says that this is we're now changing, kind of building a more technophile  Four seconds. ",We are changing and building a more technophile.
"No, I think, I think this is, this is great.Laksh um, basically completes the journey end to end and very well laid out. Um, the question that I have is that, uh, from a developer community perspective, right? When there's an interface to the trusted data model in bots and in their interpretation of what exactly they're going to be doing, right. Um, there's a reason why I'm coming there, right? So, uh, how do I match my reason to what I should be looking for? Right. So I'm trying to solve, I've been told that you need to develop this XYZ and by the subject matter expert, and they are trying to tell me exactly what I need to do. How do I need to, how do I look at the repository of trusted bots or models and everything? How do you bridge that gap? Because there's, there's going to be so much that we develop over a period of time and everything.I think the developer portal and everything that we talked about, how do we connect? That would be key out here because otherwise you will. I have a w they will have a raise towards developing, um, uh,   ",How would I match my reason to the repository of models and everything? 
"Like, I look at it. Like you have an API diagram, you should have him that AI, you know, data science developer or, or a data engineer to build that construct. Right. And then fold that into the market place. And the block is what you're basically having a campaign drive from. . ",Data science developers and data engineers to build that construct of API diagram and AI and foldthat into market place.
"Other people can at least use this without having to call you up and say, how do I, you know, I mean, how often. ",Other people can use this without calling to you.
"Yeah. It, yeah. So look, our, our philosophy has always been, you know, we don't take because frog point of view and, um, sure. Favorite languages what's your favorite IDE is, or what's your favorite techniques are, um, what we want to do is enable, you know, the masses of everybody let them use what they're familiar with. And what cortex will do is it provides that level of abstraction where we can wrap up these implementations to run algorithms and that, that can then, uh, ","Favourite languages, IDE and techniques can be used. Then cortex will provide that level of abstraction where these implementations can be wrapped up to run algorithms."
"It's basically addressing the business. Am I understanding it correctly means  We have to create, we have to go. ","It's basically addressing the business. We have to create, we have to go. "
"And so in terms of the, the hello world, um, yeah, let me go ahead and. ","In terms of Hello World, I am going ahead."
"More oriented to the local markets here. Uh, ",Future of Work should be more oriented to local markets
