transcript,labels
Deadline to design a masthead for is the next EASF meeting in Norwich (date tba ).,None
"The words echoed in her head, and she walked blindly for several moments, until the cold burning her lungs made her stop.",None
Do you think Jonathan might feel left out when the new baby comes?,None
"According to his watch, which he had kept on Essex time, he had six hours to spare before the mid-day ends",None
The king's soldiers were surprised to find everybody awake along the road.,None
Tom has missed three deadlines in a row.,None
"I m not really into it, but thanks for asking!",None
"A subcontractor is having trouble delivering the product or completing work, we shall reach out to his manager in finding out the impediments caused by subcontractor.",Escalation
A stakeholder is deliberately sabotaging or blocking your project. Report this behavior to next level who are responsible for the release.,Escalation
our software project got into trouble because the software continuously failed to work on our servers.We need to escalate this to network department.,Escalation
I don't think you are sure of the project. Who is your manager. Please escalate my concerns.,Escalation
This will further aggravate tension and escalate violence in the region.,Escalation
"As the issue could not be solved by the associate, it is being escalated to the reporting manager.",Escalation
The issue had not been settling since days where discussions are on the same stage arguing on the same point. We have decided to escalate this issue.,Escalation
The appropriate IT managers must be notified to escalate this issue they can anticipate and prepare for a solution.,Escalation
Business class prices will increase and the battle for your travel dollar will escalate.,Escalation
"If the Customer Satisfaction Representative does not resolve a critical event within 10 minutes, the event escalates to the Director of Customer Service.",Escalation
Some problems can be solved by level one support. But this problem require escalation to level two or level three support.,Escalation
They have an issue and it hasn't got solved as efficiently or quickly as it should have been and now they are expecting your business to respond before you take up more of their time. Why don t we escalate this to delivery manager to handle.,Escalation
"As everything else failed, we had to escalate the call.",Escalation
"Client says  delay of the delivery Will lead to a postponement of the go live and additional cost off at least $12,000 because we have to extend the contract for our existing System and this has to be escalated to the manager.",Escalation
The issue is causing significant extra work on your side or on the side of your team members. This has to be reported to the head of the team.,Escalation
"If the Director of Customer Service does not resolve a critical event within 15 minutes, the event escalates to a Tier-3 Support Engineer.",Escalation
"If the Director of Implementation does not resolve a critical event within 30 minutes, the event escalates to the Vice President of Service Delivery.",Escalation
"If the Director of Operations does not resolve a critical event within 10 minutes, the event escalates to a Customer Satisfaction Representative.",Escalation
"So far the BAU team has not been able to meet the quality and technically criteria for the product, into situation is putting a project at risk.",Escalation
This is the second time in two years I have to write to nodal officer. I am sorry to say but the service quality of your company is deteriorating day by day. They have forgotten the meaning of commitment.,Escalation
"Reply to the customer within a certain timeframe, as this is an escalated issue",Escalation
"We need to escalate the same to Harish as Poor incident escalation strategies often result in inaction, whereby employees are stuck waiting for authorizations. ",Escalation
"Certain project stakeholder is not willing to or is not able to do a certain activity he or she is responsible for, it is necessary to escalate the issue to the superior for resolution.",Escalation
"If the Tier-3 Support Engineer does not resolve a critical event within 15 minutes, the event escalates to the Chief Engineer.",Escalation
"Hey, we got a problem here that your team is responsible for. You're the boss, so please do something about it so that the project can continue!",Escalation
A low promotional rate are going to quickly expire and the card's rate are going to escalate.,Escalation
"Email is a mission-critical system at your company, if the Tier 1 engineer cannot quickly fix the problem, now it is reached to Information Technology escalation process to solve.",Escalation
"You must complete before your due date next week, so you won't be past due. Your manager is also being notified that your deadline is approaching.",Escalation
"When the current customer service agent simply cant solve the problem, escalation management comes into play.",Escalation
I don't think we'll make the deadline. Why don t we escalate the status to  concern for planning.,Escalation
"A team member is not providing work in there expected quality, either due to lack of experience or lack of motivation. Who is the manager of this team ?",Escalation
"The Incident was not resolved within a pre-determined period,  the maximum resolution times agreed within the SLAs, now the time we need to reach to next level of management",Escalation
It may escalate into violence causing damage or injury.,Escalation
"If an incident cannot be resolved at the first point of contact  namely the Service Desk, then  passed to a second level support for resolution",Escalation
"Despite several reminders, nothing has happened,Consider this thing to report the same to the next level. ",Escalation
The agent can now begin the process of escalating the customer support ticket to the next person in line. ,Escalation
"When an incident is escalated, should continue up the management chain.Senior managers are notified of the situation here to take any necessary actions.",Escalation
You have already tried different strategies to fix the issue or contain the risk but to no avail. This issue have to get reported to  management for solution.,Escalation
Why don't you let your senior handle the ticket? Please initiate this action quickly.,Escalation
"If the Chief Engineer does not resolve a critical event within 30 minutes, the event escalates to the Director of Implementation.",Escalation
Agents who encountered a different sort of complainant. So he escalated the call to their nearest team leader without delay.,Escalation
"Each year the price of the product has steadily risen, first from $9 per unit to $12 in 2012 and then again in 2013 to $14 per unit.  This again leads to customer dissatisfactrion and company had decide or reach out to manager reporting the same.",Escalation
